year,gen,unit,lat,lon,fuel,plantCode,plantName,plantState,plantCounty,opYear,retYear,pMover,tech
2003  ,48746.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2004  ,45853.002,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2005  ,44502.999,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2006  ,37602.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2007  ,29789.999,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2008  ,26419.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2009  ,40311.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2010  ,15951.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2011  ,37086.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2012  ,37566.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2013  ,14728.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2014  ,3647.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2015  ,37450.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2016  ,36979.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2017  ,36726.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2018  ,37376.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2003  ,499207.8,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2004  ,459538.79,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2005  ,444985.5,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2006  ,372975.0,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2007  ,294444.0,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2008  ,260335.0,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2009  ,393435.0,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2010  ,155617.0,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2011  ,360328.0,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2012  ,357479.0,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2013  ,140521.0,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2014  ,34684.0,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2015  ,348997.0,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2016  ,341389.0,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2017  ,338358.0,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2018  ,340272.0,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2003  ,48746.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2004  ,45853.002,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2005  ,44502.999,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2006  ,37602.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2007  ,29789.999,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2008  ,26419.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2009  ,40311.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2010  ,15951.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2011  ,37086.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2012  ,37566.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2013  ,14728.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2014  ,3647.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2015  ,37450.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2016  ,36979.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2017  ,36726.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2018  ,37376.0,MWh,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2003  ,499207.8,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2004  ,459538.79,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2005  ,444985.5,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2006  ,372975.0,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
2007  ,294444.0,MMBtu,36.808229,-80.938714,WAT,3772,Buck Hydro,VA,Carroll,1912,9999,HY,Conventional Hydroelectric
