year,gen,plant_name,lat,lon,fuel
2016  ,230.0,Western Branch High School ,36.848105,-76.407143,SUN
2017  ,1269.0,Western Branch High School ,36.848105,-76.407143,SUN
2018  ,48.0,Western Branch High School ,36.848105,-76.407143,SUN
2019  ,0.0,Western Branch High School ,36.848105,-76.407143,SUN
2017  ,3701.0,Merck ,38.383222,-78.643688,SUN
2018  ,152.0,Merck ,38.383222,-78.643688,SUN
2001  ,1840.999,Halifax ,36.7817,-78.9236,WAT
2002  ,1868.001,Halifax ,36.7817,-78.9236,WAT
2003  ,6320.999,Halifax ,36.7817,-78.9236,WAT
2004  ,4701.0,Halifax ,36.7817,-78.9236,WAT
2005  ,3592.999,Halifax ,36.7817,-78.9236,WAT
2006  ,2671.0,Halifax ,36.7817,-78.9236,WAT
2007  ,2457.0,Halifax ,36.7817,-78.9236,WAT
2008  ,2074.0,Halifax ,36.7817,-78.9236,WAT
2009  ,3331.0,Halifax ,36.7817,-78.9236,WAT
2010  ,3051.0,Halifax ,36.7817,-78.9236,WAT
2011  ,1958.0,Halifax ,36.7817,-78.9236,WAT
2012  ,1386.0,Halifax ,36.7817,-78.9236,WAT
2013  ,1338.48,Halifax ,36.7817,-78.9236,WAT
2014  ,1894.86,Halifax ,36.7817,-78.9236,WAT
2015  ,2651.0,Halifax ,36.7817,-78.9236,WAT
2016  ,3887.0,Halifax ,36.7817,-78.9236,WAT
2017  ,2667.0,Halifax ,36.7817,-78.9236,WAT
2018  ,3282.0,Halifax ,36.7817,-78.9236,WAT
2016  ,2553.0,Philip Morris ,37.341838,-77.287027,SUN
2017  ,2987.0,Philip Morris ,37.341838,-77.287027,SUN
2018  ,69.0,Philip Morris ,37.341838,-77.287027,SUN
2019  ,1700.0,Philip Morris ,37.341838,-77.287027,SUN
2018  ,917306.0,Greensville County Power Station ,36.718236,-77.649559,NG
2019  ,9859878.0,Greensville County Power Station ,36.718236,-77.649559,NG
2010  ,95.204,Henrico ,37.6788,-77.5678,DFO
2011  ,49.244,Henrico ,37.6788,-77.5678,DFO
2012  ,395.087,Henrico ,37.6788,-77.5678,DFO
2013  ,202.023,Henrico ,37.6788,-77.5678,DFO
2014  ,796.956,Henrico ,37.6788,-77.5678,DFO
2015  ,1044.716,Henrico ,37.6788,-77.5678,DFO
2016  ,1400.344,Henrico ,37.6788,-77.5678,DFO
2017  ,1133.686,Henrico ,37.6788,-77.5678,DFO
2018  ,811.045,Henrico ,37.6788,-77.5678,DFO
