,geometry,color,mw,plantName,year
1254,"6657    POLYGON ((271518.695 4216147.102, 271440.347 4...
6658    POLYGON ((271518.695 4216147.102, 271440.347 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",16270632.0,North Anna-NUC,2015
1463,"6657    POLYGON ((271374.150 4216147.102, 271296.498 4...
6658    POLYGON ((271374.150 4216147.102, 271296.498 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",16126087.0,North Anna-NUC,2017
1568,"6657    POLYGON ((271280.594 4216147.102, 271203.393 4...
6658    POLYGON ((271280.594 4216147.102, 271203.393 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",16032531.0,North Anna-NUC,2018
1156,"6657    POLYGON ((271136.715 4216147.102, 271060.207 4...
6658    POLYGON ((271136.715 4216147.102, 271060.207 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",15888652.0,North Anna-NUC,2014
961,"6657    POLYGON ((270581.253 4216147.102, 270507.419 4...
6658    POLYGON ((270581.253 4216147.102, 270507.419 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",15333190.0,North Anna-NUC,2012
674,"6657    POLYGON ((270450.673 4216147.102, 270377.468 4...
6658    POLYGON ((270450.673 4216147.102, 270377.468 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",15202610.0,North Anna-NUC,2009
1356,"6657    POLYGON ((270369.440 4216147.102, 270296.626 4...
6658    POLYGON ((270369.440 4216147.102, 270296.626 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",15121377.0,North Anna-NUC,2016
404,"6657    POLYGON ((270341.221 4216147.102, 270268.543 4...
6658    POLYGON ((270341.221 4216147.102, 270268.543 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",15093158.0,North Anna-NUC,2006
1059,"6657    POLYGON ((270253.336 4216147.102, 270181.081 4...
6658    POLYGON ((270253.336 4216147.102, 270181.081 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",15005273.0,North Anna-NUC,2013
243,"6657    POLYGON ((270054.489 4216147.102, 269983.192 4...
6658    POLYGON ((270054.489 4216147.102, 269983.192 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",14806426.0,North Anna-NUC,2004
