plant_code,state,fuels
2,AL,['WAT']
3,AL,"['BIT', 'NG']"
4,AL,['WAT']
7,AL,['NG']
8,AL,['BIT']
9,TX,"['DFO', 'NG']"
10,AL,"[nan, 'DFO', 'NG']"
11,AL,['WAT']
12,AL,['WAT']
13,AL,['WAT']
14,AL,['WAT']
15,AL,['WAT']
16,AL,['WAT']
17,AL,['WAT']
18,AL,['WAT']
19,AL,['WAT']
20,AL,['WAT']
21,AL,['WAT']
26,AL,"['DFO', 'BIT', nan, 'NG']"
30,MN,"['DFO', 'NG']"
34,CA,['WAT']
38,AL,['WAT']
46,AL,['NUC']
47,AL,"[nan, 'BIT', 'NG', 'SUB', 'DFO']"
48,AL,['WAT']
49,AL,['WAT']
50,AL,['BIT']
51,LA,['LIG']
53,AL,['WAT']
54,KY,"['DFO', 'BIT', nan, 'NG']"
55,AL,['WAT']
56,AL,"['BIT', 'NG']"
59,NE,['SUB']
60,NE,"[nan, 'RC', 'SUB']"
62,AK,['WAT']
63,AK,"['DFO', 'WAT']"
64,AK,['DFO']
65,AK,['WAT']
66,AK,"['DFO', 'WAT']"
69,AK,['DFO']
70,AK,['WAT']
71,AK,['WAT']
72,CA,['WAT']
75,AK,"['DFO', nan, 'NG']"
77,AK,['WAT']
78,AK,['WAT']
79,AK,['SUB']
84,AK,['WAT']
85,AK,['DFO']
87,NM,"['SUB', 'NG']"
88,NY,['WAT']
90,AK,"['DFO', 'WND']"
91,AK,"['DFO', 'WAT']"
92,AK,['DFO']
93,AK,['WAT']
95,AK,['DFO']
96,AK,['NG']
99,WA,"['DFO', 'NG']"
100,AZ,['WAT']
104,CA,['WAT']
108,KS,"['SUB', 'NG']"
109,AK,['DFO']
112,AZ,['WAT']
113,AZ,"[nan, 'BIT', 'NG', 'SUB', 'DFO']"
114,AZ,['DFO']
115,AZ,['WAT']
116,AZ,"['SUN', 'NG']"
117,AZ,"[nan, 'DFO', 'NG']"
118,AZ,"[nan, 'NG', 'SUN', 'DFO', 'RFO']"
120,AZ,"['DFO', nan, 'RFO', 'NG']"
124,AZ,['NG']
126,AZ,"[nan, 'SUN', 'DFO', 'NG']"
127,TX,['SUB']
130,SC,"['BIT', 'RC']"
136,FL,"['BIT', 'NG']"
141,AZ,"['DFO', nan, 'SUN', 'NG']"
143,AZ,"['WAT', 'NG']"
145,AZ,['WAT']
147,AZ,"['DFO', nan, 'NG']"
148,AZ,['WAT']
149,AZ,['WAT']
150,AZ,['WAT']
151,CA,"['DFO', 'NG']"
152,AZ,['WAT']
153,AZ,['WAT']
154,NV,['WAT']
159,UT,['WAT']
160,AZ,"[nan, 'BIT', 'NG', 'SUB', 'DFO']"
161,CA,['WAT']
162,CA,['WAT']
164,FL,['DFO']
165,OK,"['SUB', 'NG']"
166,AR,['WAT']
167,AR,"['DFO', nan, 'NG']"
168,AR,"['RFO', 'NG']"
169,AR,['NG']
170,AR,['NG']
171,AR,"[nan, 'DFO', 'NG']"
172,AR,['DFO']
173,AR,['NG']
174,AR,['WAT']
180,CA,['WAT']
182,AR,['WAT']
187,AR,['WAT']
188,AR,['WAT']
192,AR,"['DFO', 'NG']"
193,AR,"['DFO', nan, 'NG']"
195,AR,['WAT']
196,AR,['WAT']
197,AR,['WAT']
198,AR,['WAT']
199,AR,['WAT']
201,AR,"['DFO', 'NG']"
202,AR,"['RFO', 'NG']"
203,AR,"['RFO', 'NG']"
204,IL,['NUC']
207,FL,"['BIT', 'PC', 'NG']"
210,KS,['NUC']
214,CA,['WAT']
215,CA,['WAT']
217,CA,['WAT']
218,CA,['WAT']
219,CA,['WAT']
220,CA,['WAT']
221,CA,['WAT']
222,CA,['WAT']
223,CA,['WAT']
224,CA,['WAT']
225,CA,['WAT']
226,CA,['WAT']
227,CA,['WAT']
229,CA,['WAT']
231,CA,['WAT']
232,CA,['WAT']
233,CA,['WAT']
235,CA,['WAT']
236,CA,['WAT']
237,CA,['WAT']
238,CA,['WAT']
239,CA,['WAT']
240,CA,['WAT']
241,CA,['WAT']
242,CA,['WAT']
243,CA,['WAT']
244,CA,['WAT']
246,CA,"[nan, 'NG', 'DFO', 'OBG', 'RFO']"
247,CA,"['DFO', nan, 'RFO', 'NG']"
248,CA,['WAT']
249,CA,['WAT']
250,CA,['WAT']
253,CA,['WAT']
254,CA,['WAT']
255,CA,['WAT']
258,CA,['WAT']
260,CA,"['MWH', 'NG']"
261,CA,['WAT']
262,CA,['WAT']
264,CA,['WAT']
265,CA,['WAT']
266,CA,['WAT']
267,CA,['WAT']
268,CA,['WAT']
269,CA,['WAT']
270,CA,['WAT']
272,CA,['WAT']
274,CA,['WAT']
275,CA,['WAT']
276,CA,['WAT']
277,CA,['WAT']
279,CA,['WAT']
280,CA,['WAT']
281,CA,['WAT']
282,CA,['WAT']
283,CA,['WAT']
284,CA,['WAT']
285,CA,['WAT']
286,CA,['GEO']
287,CA,['WAT']
289,CA,['WAT']
290,CA,['WAT']
291,CA,['WAT']
292,CA,['WAT']
293,CA,['WAT']
294,CA,['WAT']
295,CA,['WAT']
296,CA,['WAT']
297,CA,['WAT']
298,TX,"['LIG', 'PC', 'SUB', 'NG']"
299,UT,['GEO']
309,CA,"['DFO', 'NG']"
312,OH,['MSW']
313,AK,['WAT']
314,CA,['WAT']
315,CA,['NG']
316,CA,['WAT']
317,CA,['WAT']
318,CA,['WAT']
319,CA,['WAT']
320,CA,['WAT']
321,CA,['WAT']
322,CA,['WAT']
323,CA,['WAT']
324,CA,['WAT']
325,CA,['WAT']
326,CA,['WAT']
327,CA,['WAT']
328,CA,['WAT']
329,CA,"['DFO', nan, 'NG']"
330,CA,"[nan, 'OG', 'NG']"
331,CA,['NG']
332,CA,['WAT']
335,CA,['NG']
336,CA,['WAT']
337,CA,['WAT']
338,CA,['WAT']
339,CA,['WAT']
340,CA,['WAT']
341,CA,['NG']
342,CA,['WAT']
344,CA,['WAT']
345,CA,['NG']
350,CA,['NG']
353,CA,['WAT']
354,CA,['WAT']
356,CA,['NG']
357,CA,['WAT']
358,CA,['NG']
360,CA,['NUC']
361,CA,['WAT']
363,CA,['WAT']
365,CA,['WAT']
371,WA,['NUC']
375,CA,['NG']
376,CA,['WAT']
377,CA,"[nan, 'DFO', 'LFG', 'NG']"
378,MN,['WAT']
380,CA,['WAT']
381,CA,['WAT']
382,CA,['WAT']
383,CA,['DFO']
384,IL,['NG']
385,CA,['WAT']
386,CA,['WAT']
387,CA,['WAT']
388,CA,['WAT']
389,CA,"[nan, 'MWH', 'NG', 'DFO', 'RFO']"
390,AK,['WAT']
391,CA,['WAT']
392,CA,['WAT']
393,CA,['WAT']
394,CA,['WAT']
396,CA,['WAT']
397,CA,['WAT']
398,CA,['WAT']
399,CA,"['DFO', nan, 'OBG', 'NG']"
400,CA,"[nan, 'NG', 'DFO', 'OBG', 'RFO']"
401,CA,['WAT']
402,CA,['WAT']
403,CA,['WAT']
404,CA,"[nan, 'OG', 'OBG', 'NG']"
406,AK,['DFO']
407,CA,['WAT']
408,CA,"[nan, 'NG', 'DFO', 'OBG', 'RFO']"
409,CA,['WAT']
410,CA,['WAT']
412,CA,['WAT']
413,CA,['WAT']
414,CA,['WAT']
415,CA,['WAT']
416,CA,['WAT']
417,CA,['WAT']
418,CA,['WAT']
419,CA,['WAT']
420,CA,['NG']
421,AK,['DFO']
422,CA,['NG']
423,AK,['DFO']
424,CA,['WAT']
425,CA,['WAT']
426,CA,['WAT']
427,CA,['WAT']
428,CA,['WAT']
430,CA,['WAT']
431,CA,['WAT']
432,CA,['WAT']
433,CA,['WAT']
435,CA,['WAT']
436,CA,['WAT']
437,CA,['WAT']
438,CA,['WAT']
439,CA,['WAT']
440,CA,['WAT']
441,CA,['WAT']
442,CA,['WAT']
443,CA,['WAT']
444,CA,['WAT']
445,CA,['WAT']
446,CA,['WAT']
447,CA,['WAT']
448,CA,['WAT']
450,CA,['WAT']
451,CA,['WAT']
454,CA,['WAT']
455,CA,['WAT']
457,CA,['WAT']
460,CO,"['DFO', 'NG']"
462,CO,"['BIT', 'WDS']"
464,CO,"['DFO', 'NG']"
465,CO,"['SUB', 'NG']"
466,CO,['WAT']
467,CO,['WAT']
468,CO,"['BIT', 'NG']"
469,CO,"[nan, 'BIT', 'NG']"
470,CO,"['SUB', 'NG']"
471,CO,"['DFO', 'NG']"
472,CO,['WAT']
473,CO,['WAT']
474,CO,['WAT']
476,CO,['WAT']
477,CO,"[nan, 'BIT', 'NG']"
478,CO,"['RFO', 'NG']"
479,CA,['WAT']
480,CA,['WAT']
481,CA,['WAT']
482,CA,['WAT']
483,CA,['WAT']
484,CA,['WAT']
487,CA,['WAT']
489,CA,['WAT']
491,CO,['DFO']
492,CO,"['SUB', 'NG']"
493,CO,"['DFO', 'NG']"
494,CO,['WAT']
495,CO,['WAT']
502,CO,"['DFO', 'NG']"
504,CO,['DFO']
505,WY,['WAT']
506,CO,"['DFO', nan, 'NG']"
507,CO,['DFO']
508,CO,"[nan, 'NG', 'SUB', 'DFO', 'WND']"
510,CA,['GEO']
511,CO,"['DFO', 'BIT', nan, 'NG']"
512,CO,['WAT']
513,CO,['WAT']
514,CO,['WAT']
515,CO,['WAT']
516,CO,['WAT']
517,CO,['WAT']
518,CO,['WAT']
519,CO,['WAT']
520,CO,['WAT']
521,CO,['WAT']
525,CO,"['DFO', 'BIT', nan, 'NG']"
527,CO,"['BIT', 'WO']"
529,CA,['SUN']
531,CA,['WAT']
533,AL,"['DFO', nan, 'NG']"
534,CA,['WAT']
535,CA,['NG']
537,CA,['WAT']
539,CT,['WAT']
540,CT,['KER']
541,CT,['WAT']
542,CT,['KER']
544,CT,"[nan, 'JF', 'KER', 'NG', 'DFO', 'RFO']"
546,CT,"['DFO', nan, 'RFO', 'NG']"
547,MA,['WAT']
550,WA,"[nan, 'WDS', 'NG']"
551,CT,['WAT']
552,CT,"['DFO', 'WAT']"
553,CT,['WAT']
554,CT,['WAT']
557,CT,"['WAT', 'JF']"
559,CT,['WAT']
560,CT,['WAT']
561,CT,['KER']
562,CT,"[nan, 'RFO', 'KER', 'NG']"
563,CT,['KER']
564,FL,"[nan, 'BIT', 'NG', 'DFO', 'LFG']"
565,CT,['KER']
566,CT,['NUC']
568,CT,"[nan, 'KER', 'NG', 'SUB', 'DFO', 'RFO']"
579,NY,['WAT']
581,CT,['DFO']
